page_id,Area,Projeto,Tarefa,Responsavel,Inicio,Fim,Status,Status_Original,Observacao
02841e8f-5916-4aad-a4a2-05ee702f9075,B.I,DBV Educa,DBV Educa: Spin Selling,"SM, RP",2025-02-11,2025-02-11,Concluído,Concluída,"(07/02) [Samuel Monteiro]: Material recebido às 9h. Montagem de automação será segunda-feira e terça-feira, dias 10 e 11.
(11/02) [Samuel Monteiro]: Automação concluída.
(11/02) [Samuel Monteiro]: Duração de tarefa: 5h
Operações gastas: 242
Para qualquer tipo de outro envio automático pelo Whatsapp, será gasto poucas operações (O gasto maior foi em montar estrutura e testes).
(11/02) [Samuel Monteiro]: @Luiz Coimbra Preciso do seu aval fazer o envio e também o pagamento da API para envio em massa.
(11/02) [Luiz Coimbra]: Vamos já fazer esse pagamento hoje, mas o disparo vamos realizar amanhã de manhã 8h, já podendo deixar programado
(11/02) [Luiz Coimbra]: Pagamento realizado, já pode programar esse disparo para amanhã
(11/02) [Samuel Monteiro]: Programado. Tarefa concluída.
(12/02) [Samuel Monteiro]: Foram utilizados 267 operações pra poder ser feito o envio para 38 pessoas."
05b330e6-d159-43ea-b7fd-dbcd9a19eabf,B.I,Compilador de Relatórios V2,Padronização Automática - Tokio Marine,SM,2025-01-28,2025-01-28,Concluído,Concluída,
0b5e8d6b-40e9-4739-96ca-5863d9819e9a,Geral,Avulso,Treinamento de Marketing,RP,2025-04-15,2025-04-15,Concluído,Concluída,"Treinamento Marketing para os assessores ferramentas (IG, WPP, Lin ETC), boas práticas …(15/04)"
0dc93a7a-f9e8-4e81-b4ff-b0f627fc5864,Marketing,Comunicação automática com clientes,Seguro RCP,"RP, SM",2025-04-11,2025-04-11,Concluído,Concluída,"(11/04) [Samuel Monteiro]: Já está com o positivador?
(11/04) [Alguém]: https://www.instagram.com/p/DHmK12fPPE0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA=="
0ed9506c-f5b7-4eee-aaf6-148cba704985,B.I,Compilador de Relatórios V2,Verificação de Asessores Inativos e Não Cadastrados,SM,2025-02-13,2025-02-13,Concluído,Concluída,"Automação para verificação de excluídos, caso seja excluído repasse total."
11a5f7df-47c4-4535-9b85-12b7a55001c0,B.I,BD Produtos,BD Outros,SM,2025-02-07,2025-02-07,Concluído,Concluída,Realizar banco de dados pra ver demandas concluídas e levantar P.A
11c837d5-c7e1-449b-a379-43e6a1ab0459,B.I,BD Produtos,BD Seguro de Vida,SM,2025-02-07,2025-02-07,Concluído,Concluída,"(16/01) [Samuel Monteiro]: Tarefa basicamente concluída. Faltam alguns detalhes, como o acesso ao Omint, que até agora não possuo, para retirada e término do BD. Mensagem foi enviada para o Julio. Aguardando o retorno e creio que até amanhã dia 17/01 será terminado.
(24/01) [Paulo Gomes]: revisar os relatórios Prudential e MAG pois tem algumas linhas que tem duas apólices (uma antiga e uma nova, provavelmente). Por isso verificar se as duas apólices estão ativas (provavelmente apenas uma está ativa). Tem que esta uma em cada linha. So não pode colocar as CANCELADAS. 
(24/01) [Paulo Gomes]: Verifiquei tambem o relatório MAG que o PA (coluna Valor Negocio) de algumas linhas estão erradas (cliente Andre Lima, por exemplo). Dessa forma, verificar todos. No relatório que consultou isso, o valor que tem la (o premio) é premio mensal (PM) e não prêmio anual (PA). Comentei isso com você isso."
1243ea52-28b9-4854-a872-70a359a2788e,Geral,Avulso,Sem Nome,Time,2026-02-02,2026-02-02,Não Iniciado,Não iniciado,
13f8b1f9-472a-41c5-a552-ccc108245477,B.I,Compilador de Relatórios V2,Padronização Automática - Bradesco,SM,2025-01-30,2025-01-30,Concluído,Concluída,
15ae0290-a44b-4f57-81e3-577b56eb2d7f,Geral,Avulso,Live - Onde Investir,"RP, LC",2025-05-29,2025-05-29,Concluído,Concluída,"(06/05) [Alguém]:  Live “Onde investir a partir do 2º semestre de 2025”
Data: 09/05 às 18h
Participantes: Comitê de Alocação DBV Capital
Duração: 45 a 60 minutos (ajuste conforme preferir)

1. Abertura (5 min)
Boas-vindas e apresentação dos participantes
[Nome do Host/Apresentador] apresenta a DBV Capital e o Comitê de Alocação.
Explica brevemente o objetivo da live e a importância de se planejar para investir no segundo semestre de 2025.
Incentiva o público a enviar perguntas pelo chat.

2. Panorama Econômico Atual (10 min)
Análise breve do que aconteceu no 1º semestre de 2025 (cenário nacional e internacional).
Destaques de oportunidades e riscos para o 2º semestre.
O que pode impactar o mercado de investimentos (política, economia global, inflação, juros, etc.).

3. Onde Investir: Opções e Estratégias (20 min)
Classes de ativos recomendadas: renda fixa, renda variável, fundos imobiliários, internacionais, alternativos, etc.
Destaque para setores ou tipos de investimento que podem se beneficiar do atual cenário.
Estratégias defensivas vs. estratégias ofensivas.
Como montar uma carteira equilibrada para o 2º semestre.

4. Perguntas do público (ou do host) (15 min)
Espaço aberto para perguntas.
Caso não haja perguntas da audiência, utilizar perguntas preparadas (ver abaixo).

5. Encerramento (5 min)
Resumo dos principais pontos discutidos.
Orientações para quem quer conversar com um consultor da DBV Capital.
Agradecimentos e convite para seguir nas redes sociais.

Perguntas para estimular a conversa (caso não haja perguntas do público)
Quais são as perspectivas para a taxa de juros no Brasil no segundo semestre e como isso pode impactar as estratégias de alocação?
Há setores ou segmentos específicos da Bolsa que vocês acreditam ter maior potencial de valorização no segundo semestre?
Para quem está começando a investir agora, quais ativos seriam mais indicados neste momento?
Como vocês enxergam a diversificação internacional? Vale a pena aumentar a exposição a ativos fora do Brasil?
Com as mudanças recentes no cenário econômico, houve ajustes na carteira recomendada pela DBV Capital?
Quais os principais riscos que os investidores devem ficar atentos no segundo semestre?
Qual a importância do acompanhamento profissional das carteiras em momentos de volatilidade?
Vocês veem oportunidades em fundos imobiliários ou é hora de cautela nesse setor?
Como os investidores podem se proteger em um cenário mais incerto ou de maior volatilidade?
Uma dica rápida para quem quer começar o segundo semestre de 2025 investindo melhor?

(06/05) [Luiz Coimbra]: Amanhã teremos reunião com time de alocação, para organizarmos a live
(06/05) [Luiz Coimbra]: 11h
(07/05) [Luiz Coimbra]: Vamos passar para 22/05 

Estudar como fazer no YouTube também 
Confirmar horário e dia melhor de audiência 
Conversar com César sobre os equipamentos  
(23/05) [Alguém]: A live foi passada para o dia 29/05 as 18h.
Iremos utilizar o microfone normal pois as pessoas serão revesadas. 
"
